question,ref_answer,response,semantic_similarity,token_overlap_recall,rouge_l_recall
"Is a party restricted from contracting or soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both)?","For clarity, ENERGOUS shall not intentionally supply Products, Product Die or comparable products or product die to customers directly or through distribution channels.","During the Term and for a [***], neither party will without the written consent of the other party (which may be granted or denied in its sole discretion) (a) engage with any customer of the other party in the event the other party obtained that customer through a direct solicitation of such customer by such party or its Affiliates, or (b) hire any employee of the other party., ENERGOUS and DIALOG and their respective Subcontractors may from time to time during the Term directly solicit the business of and enter into supply relationships with customers of the other party who were not solicited by or acquired through a direct solicitation by such party or its Affiliates., In addition, after the termination of this Agreement of any reason, (a) for a period of [***] after the effective date of termination, ENERGOUS and DIALOG and their respective Subcontractors will not engage with any customer of the other party in the event the other party obtained that customer through a direct solicitation of such customer by ENERGOUS, DIALOG or their Affiliates, and (b) DIALOG and its Affiliates will not hire any employee of ENERGOUS or its Affiliates and ENERGOUS and",0.3802525997161865,0.25,0.2857142857142857
"What is This category includes the exceptions or carveouts to Non-Compete, Exclusivity and No-Solicit of Customers above.?","However, ENERGOUS is allowed to engage with a Semiconductor Supplier to supply comparable products or product die to a customer if either (i) the customer which has not been engaged with DIALOG with respect to such product or product die notifies ENERGOUS or DIALOG in writing by an authorized officer of the customer that it does not want to use DIALOG or a DIALOG Affiliate as a supplier of such product or product die; or (ii) if DIALOG has been engaged with the customer, the customer notifies ENERGOUS or DIALOG in writing prior to commencement of the Design-In Phase that it does not want to use DIALOG or a DIALOG Affiliate as a supplier of such product or product die","7. Notwithstanding the foregoing, ENERGOUS is allowed to engage with a Semiconductor Supplier to supply products to a Customer if (i) the Customer has terminated its relationship with ENERGOUS or its Affiliates, (ii) the Customer has filed a petition for bankruptcy or has had a bankruptcy petition filed against it that remains undismissed or undischarged for 60 days, (iii) the Customer has failed to pay any amount due to ENERGOUS or its Affiliates when due and such non-payment has continued for 60 days after the due date, (iv) the Customer has engaged in a material breach of its obligations under this Agreement and has not cured such breach within 30 days after receipt of written notice thereof, or (v) the Customer has sold or transferred all or substantially all of its assets to a third party.",0.6817029714584351,0.1724137931034483,0.36538461538461536
"Is there a restriction on a party’s soliciting or hiring employees and/or contractors from the  counterparty, whether during the contract or after the contract ends (or both)?","During the Term and for a [***], neither party will without the written consent of the other party (which may be granted or denied in its sole discretion) (a) directly or indirectly recruit or solicit for employment or for the provision of services any employee of the other party, (b) otherwise solicit, induce or influence any employee to leave their employment with the other party, or (c) attempt to do any of the foregoing; provided, however, that the foregoing will not apply to (y) any employee of the other party that responds to a public advertisement of employment opportunities or (z) any employee that was terminated without cause by the other party. ENERGOUS and DIALOG acknowledge and agree that the covenants in this Section 18 are reasonable and necessary to protect each of their trade secrets, Confidential Information and stable workforces.","2.4. During the Term and for a period of [***], neither party will directly or indirectly (a) recruit or solicit for employment any employee of the other party without the prior written consent of the other party, which approval will not be unreasonably withheld or delayed, or (b) solicit or induce any employee of the other party to terminate their employment with such party.",0.5843392610549927,0.21212121212121213,0.27380952380952384
Can a party terminate this  contract without cause (solely by giving a notice and allowing a waiting  period to expire)?,"ENERGOUS may, at any time after the third anniversary of the Effective Date, terminate this Agreement with or without cause upon not less than one hundred and eighty (180) days prior written notice to DIALOG.","11.1 Subject to Section 11.2, either party may, during the Term, terminate this Agreement with or without cause upon not less than thirty (30) days prior written notice to the other party.",0.5634568929672241,0.5,0.5294117647058824
"Is there a clause granting one party a right of first refusal, right of first offer or right of first negotiation to purchase, license, market, or distribute equity interest, technology, assets, products or services?","Upon receipt of such notice, DIALOG will have [***] to notify ENERGOUS in writing that it desires to add such New Product as Product under this Agreement., In the event that ENERGOUS develops New Product, ENERGOUS will provide DIALOG with written notice describing the New Product before marketing, selling or distributing the New Product with or to any third party., ENERGOUS may not negotiate with any third party the rights to market, sell or distribute any New Product until the earliest to occur of the following (a) DIALOG does not provide ENERGOUS with notice that it desires to add such New Product to this Agreement within the above-described [***] period, (b) ENERGOUS and DIALOG do not reach mutually agreeable terms for adding such New Product to this Agreement during the [***] negotiation period or (c) DIALOG provides ENERGOUS with written notice that it does not wish to negotiate with respect to such New Product., If DIALOG provides such a notice, for a period of [***] following ENERGOUS' receipt of such notice, ENERGOUS and DIALOG will negotiate in good faith the terms pursuant to which such New Product will be added as a Product to this Agreement.","This Agreement may be terminated by either party effective as of December 31st of any year by giving notice to the other party on or before July 31st of such year (each, a ""Renewal End Date""); provided, however, that if either party does not give notice of non-renewal by July 31st of a given year, then this Agreement will automatically continue for an annual period after each Renewal End Date (a ""Renewal Term"") subject to each party's continued compliance with its obligations hereunder and subject to the provisions of Section 15.",0.19217927753925323,0.04854368932038835,0.20238095238095238
"Does one party have the right to terminate or is consent or notice required of the counterparty if such party undergoes a change of control, such as a merger, stock sale, transfer of all or substantially all of its assets or business, or assignment by operation of law?","ENERGOUS will have the right to terminate this Agreement immediately upon the issuance of written notice to DIALOG (A) if DIALOG undergoes a Change of Control involving a competitor of ENERGOUS (as reasonably determined by ENERGOUS), or (B) if DIALOG or any of its Affiliates acquires, whether directly or indirectly through a sale of assets or a Change of Control transaction or otherwise, any competitor of ENERGOUS. DIALOG will provide ENERGOUS with notice of any such Change of Control or acquisition within [***] after the closing thereof and ENERGOUS' right to terminate the Agreement will expire [***] after receipt of such notice., Notice of Merger or Acquisition. Until the date that this Agreement terminates or is terminated in accordance with Section 15 hereof, ENERGOUS agrees that, [***]., DIALOG will have the right to terminate this Agreement immediately upon the issuance of written notice to ENERGOUS (A) if ENERGOUS undergoes a Change of Control involving a competitor of DIALOG, or (B) if ENERGOUS acquires, whether directly through a sale of assets or through a Change of Control transaction, any competitor of DIALOG (as reasonably determined by DIALOG). ENERGOUS will provide DIALOG with notice of any such Change of Control or acquisition within [***] after the closing thereof and DIALOG's right to terminate the Agreement will expire [***] after receipt of such notice., If DIALOG is acquired by a third party, DIALOG's acquirer will have the right, for a period of [***] following closing of such acquisition, to terminate this Agreement upon written notice to ENERGOUS., If ENERGOUS is acquired by a third party, ENERGOUS' acquirer will have the right, for a period of [***] following closing of such acquisition, to terminate this Agreement upon written notice to DIALOG.","Subject to the exclusions set out in Section 2.16(a), this Agreement continues in effect for an initial term of seven (7) years (""Initial Term"") and will automatically renew for one or more annual periods after the Initial Term (each a ""Renewal Term"") unless either party gives notice of non-renewal at least one hundred eighty (180) days prior to the beginning of any Renewal Term.",0.27377206087112427,0.02702702702702703,0.16091954022988506
Is consent or notice required of a party if the contract is assigned to a third party?,"This Agreement may not be assigned by either party without the express written consent of the other party, which approval will not be unreasonably withheld or delayed, except that either party may (without consent but with notice to the other party) assign this Agreement in its entirety to any successor in the event of a Change of Control of such party.","This Agreement may not be assigned by either party without the express written consent of the other party, which approval will not be unreasonably withheld or delayed, except that either party may (without consent but with notice to the other party) assign this Agreement in its entirety to any successor in the event of a Change of Control of such party.",0.9999998807907104,0.7,1.0
"Is one party required to share revenue or profit with the counterparty for any technology, goods, or services?",Royalties and Service Fees payable by DIALOG and/or its Affiliates to ENERGOUS hereunder will be calculated on a Product by Product basis as defined herein.,"2.4(d) ENERGOUS will have the right to terminate this Agreement upon a Change in Control of DIALOG if, prior to the effectiveness of such Change in Control of DIALOG, ENERGOUS does not provide to DIALOG written notice of such Change in Control and DIALOG's right to terminate this Agreement as set forth in this Section 2.4(d), and DIALOG does not terminate this Agreement within 30 days of receipt of such notice.",0.3308204412460327,0.13333333333333333,0.2608695652173913
Is there a minimum order size or minimum amount or units per-time period that one party must buy from the counterparty under the contract?,"DIALOG may terminate this Agreement, immediately upon issuance of written notice to ENERGOUS in the event that: (A) DIALOG or its Affiliates fail to achieve a design-win pipeline with an annual projected sales value to DIALOG of at least [***] in the [***] after the availability of a Mass Production Qualified Product; or (B) the aggregate annual Net Sales of Products are below [***] by the [***] of the availability of a Mass Production Qualified Product, or below [***] by the [***] of the availability of a Mass Production Qualified Product, or below [***] by each [***] of the availability of a Mass Production Qualified Product during the remainder of the Term.","2.4 ""Minimum Purchase Obligation."" During any Calendar Year (or the remaining balance thereof if the Agreement terminates), ENERGOUS' total shipments of Products to DIALOG will not be less than [***] of the total quantity of Products shipped to DIALOG by ENERGOUS in Calendar Year [***], or [***] if there is no such shipment, except as otherwise set forth in this Section 2.4.",0.5453109741210938,0.0784313725490196,0.10909090909090909
"Does intellectual property created  by one party become the property of the counterparty, either per the terms of the contract or upon the occurrence of certain events?","Upon the termination of DIALOG's right to manufacture the Licensed Products following any expiration or termination of the Agreement or any Wind Down Period or Continuing Obligation period, as applicable, then all right, title and interest in the Tooling will automatically transfer to ENERGOUS subject to any Third Party IP, and DIALOG will, at ENERGOUS' option, either sell any Tooling in its possession to ENERGOUS at cost or destroy the Tooling and certify in writing as to same.","Each party shall retain all right, title and interest in and to all inventions, discoveries and intellectual property (""Intellectual Property"") conceived, developed or made by or on behalf of such party during the Term, including, without limitation, any improvements or modifications thereto, except that, with respect to any Intellectual Property that is also a ""Work for Hire"" as defined in the Copyright Act of 1976, as amended, each party hereby grants to the Counterparty a non-exclusive, irrevocable, perpetual, worldwide, sub-licensable, royalty-bearing license (with the right to sub-license) under all such party's interest in any U.S. patent rights of such Work for Hire to make, have made, modify, use, sell, offer for sale, import and otherwise dispose of such Work for Hire in or with any products or services of the Counterparty or its Affiliates., ENERGOUS hereby grants to DIALOG a non-exclusive, irrevocable, perpetual, worldwide, sub-licensable, royalty-bearing license under all of ENERGOUS' right, title and interest in the Products, Intellectual Property and Product Information to make, have made, modify, use, sell, offer for sale, import and otherwise dispose",0.6086196899414062,0.1951219512195122,0.22641509433962265
Does the contract contain a license granted by one party to its counterparty?,"ENERGOUS hereby grants DIALOG a non-exclusive, non-transferable (except as set forth in Section 2) license under the Product IP to use any of the Deposit Materials released from escrow for the purpose of fixing an Epidemic Defect or other Product design or production issue impacting yield or quality during the Term and, if applicable, any Wind Down Period or Continuing Obligation period, including, but not limited to, authorizing any third party subcontractor to manufacture and supply Products, provided, however, that DIALOG continues to make all Royalty payment owed to ENERGOUS (or the then-current owner of the Product IP) as provided in this Agreement., Until the earlier of (i) termination of ENERGOUS' exclusivity obligations to the Key Customer set forth in Exhibit F (the ""Key Customer"") existing as of the Effective Date with respect to the following applications, or (ii) [***] that incorporates ENERGOUS wireless charging technology, or (iii) [***] and subject to the exceptions set out in Section 2.3, DIALOG will not be permitted to Sell Licensed Products for use in the following applications (the ""Excluded Applications""):   (a) [***];, (b) [***];   (c) [***];   (d) [***]; and   (e) [***] designed for use with any of the applications in paragraphs (a) to (d) of this Section 2.2., For the avoidance of doubt, DIALOG will be permitted to Sell Licensed Products for use in any or all of the Excluded Applications (A) at any time on or after [***] or, if earlier, (B) [***] that incorporates ENERGOUS wireless charging technology, or (C) upon the termination of ENERGOUS' exclusivity obligations to the Key Customer existing as of the Effective Date with respect to the above applications., Subject to the restrictions set out in Section 2.2, ENERGOUS hereby grants to DIALOG a non-exclusive (subject to Section 2.5), irrevocable, worldwide, sub-licensable (solely in accordance with Section 2.4), royalty-bearing license during the Term under all Product IP to:   (a) repackage or have repackaged the Product Die into various package formats or layouts, and to integrate the Product Die into MCMs, which may incorporate DIALOG or third party intellectual property (such repackaged Product Die, MCMs and Products, are individually and/or collectively referred to as the ""Licensed Products"");   (b) have the Licensed Products manufactured, tested and packaged by Manufacturing Subcontractors;   (c) Sell, offer for Sale, import, export and support the Licensed Products, including without limitation, providing system design, troubleshooting and failure analysis support for DIALOG's customers and their customers;   (d) use and modify the Tooling and Documentation for the purposes of paragraphs (a) to (d) of this Section 2.1., To the extent the parties engage in any co-branding activities, then, subject to the terms and conditions of this Agreement and during the Term, each party (in such capacity, ""Licensor"") hereby grants to the other party (in such capacity, ""Licensee"") a non-exclusive, non- transferable, worldwide right and license (without the right to sublicense), under Licensor's Intellectual Property Rights in Licensor's Marks, to use those Marks of Licensor set forth in  Exhibit D solely in connection with the marketing, sale and distribution of such co-branded Products in accordance with this Agreement.","Subject to the restrictions set out in Section 2.2, ENERGOUS hereby grants to DIALOG a non-exclusive (subject to Section 2.5), irrevocable, worldwide, sub-licensable (solely in accordance with Section 2.4), royalty-bearing license during the Term under all Product IP to:",0.8341586589813232,0.07773851590106007,0.13229571984435798
Does the contract limit the ability of a party to transfer the license being granted to a third party?,"ENERGOUS hereby grants DIALOG a non-exclusive, non-transferable (except as set forth in Section 2) license under the Product IP to use any of the Deposit Materials released from escrow for the purpose of fixing an Epidemic Defect or other Product design or production issue impacting yield or quality during the Term and, if applicable, any Wind Down Period or Continuing Obligation period, including, but not limited to, authorizing any third party subcontractor to manufacture and supply Products, provided, however, that DIALOG continues to make all Royalty payment owed to ENERGOUS (or the then-current owner of the Product IP) as provided in this Agreement., To the extent the parties engage in any co-branding activities, then, subject to the terms and conditions of this Agreement and during the Term, each party (in such capacity, ""Licensor"") hereby grants to the other party (in such capacity, ""Licensee"") a non-exclusive, non- transferable, worldwide right and license (without the right to sublicense), under Licensor's Intellectual Property Rights in Licensor's Marks, to use those Marks of Licensor set forth in  Exhibit D solely in connection with the marketing, sale and distribution of such co-branded Products in accordance with this Agreement., DIALOG may sublicense the foregoing license rights to Manufacturing Subcontractors solely to the extent necessary and appropriate for them to manufacture, assemble, test and provide support for the Products., DIALOG may not sublicense the foregoing license rights to any other third party without ENERGOUS' prior written consent.","Subject to the restrictions set out in Section 2.2, DIALOG may sublicense the foregoing license rights to any of its Affiliates or, with ENERGOUS' written approval, to any third party.",0.6343652606010437,0.09285714285714286,0.11805555555555555
Does the contract contain a license grant by affiliates of the licensor or that includes intellectual property of affiliates of the licensor?,"Subject to the restrictions set out in Section 2.2, ENERGOUS hereby grants to DIALOG a non-exclusive (subject to Section 2.5), irrevocable, worldwide, sub-licensable (solely in accordance with Section 2.4), royalty-bearing license during the Term under all Product IP to:   (a) repackage or have repackaged the Product Die into various package formats or layouts, and to integrate the Product Die into MCMs, which may incorporate DIALOG or third party intellectual property (such repackaged Product Die, MCMs and Products, are individually and/or collectively referred to as the ""Licensed Products"");   (b) have the Licensed Products manufactured, tested and packaged by Manufacturing Subcontractors;   (c) Sell, offer for Sale, import, export and support the Licensed Products, including without limitation, providing system design, troubleshooting and failure analysis support for DIALOG's customers and their customers;   (d) use and modify the Tooling and Documentation for the purposes of paragraphs (a) to (d) of this Section 2.1., ""Product IP"" means (a) all Intellectual Property Rights in and to the Products, including all Product Updates, (b) any other Inventions and work products created or developed in connection with research and development or manufacturing efforts relating to the Products, including all Intellectual Property Rights therein and (c) all Intellectual Property Rights in and to the Mask Sets and Tooling, in each of the foregoing cases, that are owned or controlled by ENERGOUS, its Affiliates or any successor or assign.","Subject to the restrictions set out in Section 2.2, ENERGOUS hereby grants to DIALOG a non-exclusive (subject to Section 2.5), irrevocable, worldwide, sub-licensable (solely in accordance with Section 2.4), royalty-bearing license during the Term under all Product IP to:",0.8529388904571533,0.16176470588235295,0.23776223776223776
Does the contract contain a license grant to a licensee (incl. sublicensor) and the affiliates of such licensee/sublicensor?,"DIALOG may sublicense the foregoing license rights to any of its Affiliates., IALOG's license to possess and use the Deposit Materials does not include any right to disclose, market, sublicense or distribute the Deposit Materials to any third party other than its Affiliates and Manufacturing Subcontractors.","Subject to the restrictions set out in Section 2.2, ENERGOUS hereby grants to DIALOG a non-exclusive (subject to Section 2.5), irrevocable, worldwide, sub-licensable (solely in accordance with Section 2.4), royalty-bearing license during the Term under all Product IP to:",0.543242871761322,0.07692307692307693,0.12121212121212122
Does the contract contain a  license grant that is irrevocable or perpetual?,"Subject to the restrictions set out in Section 2.2, ENERGOUS hereby grants to DIALOG a non-exclusive (subject to Section 2.5), irrevocable, worldwide, sub-licensable (solely in accordance with Section 2.4), royalty-bearing license during the Term under all Product IP to:","Subject to the restrictions set out in Section 2.2, ENERGOUS hereby grants to DIALOG a non-exclusive (subject to Section 2.5), irrevocable, worldwide, sub-licensable (solely in accordance with Section 2.4), royalty-bearing license during the Term under all Product IP to:",1.0000001192092896,0.88,1.0
"Is one party required to deposit its source code into escrow with a third party, which can be released to the counterparty upon the occurrence of certain events (bankruptcy,  insolvency, etc.)?","ENERGOUS hereby grants DIALOG a non-exclusive, non-transferable (except as set forth in Section 2) license under the Product IP to use any of the Deposit Materials released from escrow for the purpose of fixing an Epidemic Defect or other Product design or production issue impacting yield or quality during the Term and, if applicable, any Wind Down Period or Continuing Obligation period, including, but not limited to, authorizing any third party subcontractor to manufacture and supply Products, provided, however, that DIALOG continues to make all Royalty payment owed to ENERGOUS (or the then-current owner of the Product IP) as provided in this Agreement., ENERGOUS will keep the Deposit Materials in escrow and ensure on a quarterly basis that all the information relating to the Deposit Materials in escrow is current, including deposit of any Product Updates., DIALOG agrees not to exercise such license until occurrence of a Release Condition, subject to the other restrictions set forth in this Section 16., In the event of any Insolvency Event and where the design files need to be accessed by DIALOG to fix an Epidemic Defect or other Product design or production issue impacting yield or quality (""Release Condition""), the Escrow Agent will, in accordance with the terms of the escrow agreement between the parties and the Escrow Agent (the ""Escrow Agreement""), release the Deposit Materials to DIALOG., ENERGOUS will at its expense, at DIALOG's written request during the Term and any Wind Down Period, enter into a three- party escrow deposit arrangement, in accordance with this Section 16, with a recognized escrow agent (the ""Escrow Agent"") of mutual agreement.","2.6. The Initiating Party may, at any time prior to the expiration or termination of the Term, request in writing that the other Party deposit the Source Code with a mutually agreed third party escrow agent, which request will be promptly complied with by the other Party.",0.35935062170028687,0.046357615894039736,0.10810810810810811
"Is a party subject to obligations after the termination or expiration of a contract, including any post-termination transition, payment, transfer of IP, wind-down, last-buy, or similar commitments?","If, at the time of notice of any termination of this Agreement, DIALOG or any of its Affiliates has a written supply contract with a customer that extends beyond the end of the Wind Down Period (a ""Continuing Obligation""), DIALOG and/or its Affiliates may continue to Sell Licensed Products to such customer through the term of the Wind Down Period and for the remainder of the term of such Continuing Obligation, provided that in no event may DIALOG or its Affiliates Sell Licensed Products to such customer pursuant to this Section 15.4(b) for a period longer than [***] after the effective date of termination of this Agreement., Upon the termination of DIALOG's right to manufacture the Licensed Products following any expiration or termination of the Agreement or any Wind Down Period or Continuing Obligation period, as applicable, then all right, title and interest in the Tooling will automatically transfer to ENERGOUS subject to any Third Party IP, and DIALOG will, at ENERGOUS' option, either sell any Tooling in its possession to ENERGOUS at cost or destroy the Tooling and certify in writing as to same., In such event, the provisions of this Agreement that survive during the Wind Down Period will continue to survive for the remainder of the period of time that DIALOG is authorized to Sell Licensed Products to any customer in accordance with the foregoing sentence., Notwithstanding any statement in Section 15.3 to the contrary, upon any termination or expiration of this Agreement and until the later to occur of (i) [***] from the Effective Date or (ii) [***] following the effective date of termination or expiration of this Agreement (the ""Wind Down Period""), the parties' respective rights and obligations under Sections 2 (License), 3 (Sourcing), 7 (Product Sales), 9 (Royalties and Service Fees), 11 (Representations and Warranties; Disclaimers), 12 (Indemnification), 13 (Limitation of Liability), 14 (Compliance with Laws), 15.2 (Termination), 16 (Escrow) and all Exhibits hereto which are associated with any of the foregoing listed sections will remain in full force and effect as to (A) any Products or repackaged Product Die with respect to which DIALOG or any of its Affiliates has secured a design win at a customer prior to or within one (1) month after the start of the Wind Down Period, or (B) the sale of any MCMs which have been released for production at a foundry, provided, however, that DIALOG's license rights under Section 2.1 (including any sublicenses granted by DIALOG pursuant to Section 2.4) will be non-exclusive during the Wind Down Period.","ENERGOUS will have the right to terminate this Agreement, upon not less than one hundred eighty (180) days prior written notice to DIALOG, if the EU or any of its member states (i) issues a directive or regulation that prohibits the use of Radio Frequency (RF) energy to charge a wireless charging coil in a device, (ii) imposes a prohibition or restriction on the sale of devices that include wireless charging functionality, or (iii) imposes a prohibition or restriction on the sale of devices that include wireless charging functionality with a power transfer rate above a certain level, and as a result, the manufacture, sale or provision of Products or Product Die is prohibited or restricted under this Agreement or any applicable law.",0.5526442527770996,0.0779816513761468,0.11
"Does a party have the right to  audit the books, records, or physical locations of the counterparty to ensure compliance with the contract?","During the Record Retention Period, ENERGOUS may appoint a mutually agreed independent, internationally recognized third-party certified auditor who will have the right to inspect and copy the Records upon reasonable prior notice, and DIALOG will (and will cause its Affiliates to) allow necessary access including, as applicable, to its premises where such Records are located. ENERGOUS may exercise such right to this independent-third party audit no more than one time per calendar year and each such audit will be conducted during normal business hours., Such audit may also not interfere with DIALOG's or its Affliates' quarterly closing of its books.","Each party, during [***], subject to the restrictions and notice requirements set forth below, may (a) inspect and copy the other party's records and (b) have an independent auditor inspect and copy the other party's records, all in connection with the foregoing audit rights, provided that the party initiating such inspection and copying (the ""Requesting Party"") delivers written notice to the other party (the ""Responding Party"") of any such inspection and copying at least [***] prior to the initiation thereof.",0.4889073371887207,0.1694915254237288,0.125
