index,question,input,answer,qa_id
14,Is there a requirement on a party not to disparage the counterparty?,"Highlight the parts (if any) of this contract related to ""Non-Disparagement"" that should be reviewed by a lawyer. Details: Is there a requirement on a party not to disparage the counterparty?","EFS and its affiliates conduct their activities, both relating to the Playboy Commerce Business and otherwise, in a way that does  not jeopardize the Playboy Marks or the reputation and image of any Playboy entity or activity.",PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement1__Non-Disparagement
16,"Is there a clause granting one party a right of first refusal, right of first offer or right of first negotiation to purchase, license, market, or distribute equity interest, technology, assets, products or services?","Highlight the parts (if any) of this contract related to ""Rofr/Rofo/Rofn"" that should be reviewed by a lawyer. Details: Is there a clause granting one party a right of first refusal, right of first offer or right of first negotiation to purchase, license, market, or distribute equity interest, technology, assets, products or services?","EFS agrees that it shall approach Licensees regarding any planned  EFS Produced Merchandise and give such Licensees a seven (7) day right of first refusal with respect to the design and  manufacture thereof, whereby EFS may set forth commercially reasonable requirements with respect to pricing, delivery and  product specifications., If EFS desires to use  any other domain names or Internet locators/designators in connection with the Websites, Micro Sites or otherwise utilizing  PLAYBOY- or PLAYBOY-related marks, EFS shall so notify Client, which may at its sole discretion, choose to register the  same at its expense.",PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement1__Rofr/Rofo/Rofn
18,Is consent or notice required of a party if the contract is assigned to a third party?,"Highlight the parts (if any) of this contract related to ""Anti-Assignment"" that should be reviewed by a lawyer. Details: Is consent or notice required of a party if the contract is assigned to a third party?","Notwithstanding the foregoing, this Agreement and all  rights and duties hereunder shall not, without the prior written consent of Client, in any manner be assigned, mortgaged, licensed,  or otherwise transferred or encumbered by EFS or by operation of law; provided, however, that EFS may assign this Agreement  to an acquirer of all or substantially all of its assets without Client's consent, but only in the event that in Client's reasonable  determination (a) key EFS management (as defined by Client at the time of acquisition) will remain indefinitely with EFS or  replacement management is reasonably acceptable to Client and no less experienced than those in place as of the Effective Date  hereof; (b) the acquirer can demonstrate to Client's reasonable satisfaction the availability of financial resources, and the ability  and intention, to, In addition, EFS may not assign this Agreement without Client's consent to a competitor  of Client or any of Client's businesses., adequately invest in growing the Playboy Commerce Business (by way of example, the acquirer shall have a minimum net worth  equal to or above that of EFS as of the Effective Date hereof); (c) such assignment will not have a detrimental impact on the  Playboy Commerce Business or Client's other businesses; and (d) the acquirer is otherwise able to honor all financial terms and  assume all obligations of EFS hereunder., Any purported transaction not specifically permitted under this Section 14.3 shall be null and void ab initio.",PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement1__Anti-Assignment
19,"Is one party required to share revenue or profit with the counterparty for any technology, goods, or services?","Highlight the parts (if any) of this contract related to ""Revenue/Profit Sharing"" that should be reviewed by a lawyer. Details: Is one party required to share revenue or profit with the counterparty for any technology, goods, or services?","EFS shall pay a royalty (""Royalty"") to Client to be calculated and paid as follows: (a) the Royalty shall be  determined based upon the percentage applicable to the Merchandise Gross Margin (pursuant to the chart in Exhibit 10, attached  hereto and hereby incorporated by reference); (b) multiplied by the Net Merchandise Sales (as defined below) as applicable in  each case for the applicable Calendar Quarter or Year (each as defined below)., In addition, Client shall be entitled to receive a royalty payment on the shipping and  handling charges paid by customers during the applicable Calendar Quarter (""Shipping Royalty"") equal to the Royalty percentage  multiplied by the shipping profit., Client shall be entitled to receive an advertising fee of ***** of the Net Advertising Revenue  derived by EFS from Advertisements pursuant to Section 4.4 (""Advertising Fee"")., Pursuant to Section 3.6, EFS shall pay a quarterly Royalty to Client calculated as set forth in Section 6.1  using separate Royalty percentages on a country-by-country basis based on product margins for each such country, as agreed  upon by the parties.",PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement1__Revenue/Profit Sharing
21,Is there a minimum order size or minimum amount or units per-time period that one party must buy from the counterparty under the contract?,"Highlight the parts (if any) of this contract related to ""Minimum Commitment"" that should be reviewed by a lawyer. Details: Is there a minimum order size or minimum amount or units per-time period that one party must buy from the counterparty under the contract?","In the event EFS does not meet the full amount of the Minimum Royalty during the applicable  Year in which such Minimum Royalty was owed to Client, EFS will not be permitted to offset the shortfall with any overages from  any previous or subsequent Year, and a new Minimum Royalty will be due as set forth in this Section 6.2., In the event that this Agreement is terminated prior to the end of the Initial Term, any portion of the Year 1  Minimum Royalty that has been spread across Years 2 through 5 of the Term pursuant to Exhibit 10 and which has not yet been  paid to Client, shall immediately become due and owing., EFS shall have the right to decrease the Catalog budget  below the ***** minimum only if EFS can demonstrate that online marketing activities yield a higher return-on-investment and  provided all such reduced dollars are then reinvested in online marketing spend over and above the minimum online marketing  commitment described in Section 4.2, below., For the avoidance of  doubt, the Minimum Royalty is a minimum net sum from which no taxes or charges of any sort may be deducted., Notwithstanding revenue actually generated by EFS in connection with the Playboy Commerce  Business hereunder, it is understood and agreed that the Royalty paid to Client in each Year of the Term shall not be less than the  amounts set forth in Exhibit 10 (the ""Minimum Royalty"")., In the event that the Minimum Royalty is met in any applicable Year, (i) EFS shall not be permitted to carry  over any overages into the next Year and (ii) EFS will not be eligible for any refund from any Minimum Royalty or Royalty  previously owed or paid to Client., In such event, the annual Minimum Royalty during the  Renewal Term, if any, shall be equal to the greater of: (a) ***** of the actual Royalty paid to Client in Year 5; and (b) *****., EFS will commit to an annual Catalog budget equal to or greater than *****, which represents  ***** of the actual amount spent by Client on the Catalogs for 2007., Accordingly, EFS agrees it will spend annually a minimum of ***** of Net  Website Sales (as defined below) on online marketing (""Online Marketing Budget"")., In the event the Minimum Royalty is not achieved in any Year based on  the Royalty payments made in such Year, EFS shall pay the shortfall between the Royalty earned and the applicable Minimum  Royalty due, if any, within sixty (60) days of the end of such Year.",PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement1__Minimum Commitment
22,"Is there a fee increase or consent requirement, etc. if one party’s use of the product/services exceeds certain threshold?","Highlight the parts (if any) of this contract related to ""Volume Restriction"" that should be reviewed by a lawyer. Details: Is there a fee increase or consent requirement, etc. if one party’s use of the product/services exceeds certain threshold?","At Client's cost for materials (but excluding costs for labor or other EFS  charges), EFS agrees to include up to two (2) inserts per month in each of the Catalogs and up to two (2) onserts per month in all  outgoing Merchandise packaging, promoting Client products and services and/or those of Client's affiliates, Licensees or  sponsors.",PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement1__Volume Restriction
23,"Does intellectual property created  by one party become the property of the counterparty, either per the terms of the contract or upon the occurrence of certain events?","Highlight the parts (if any) of this contract related to ""Ip Ownership Assignment"" that should be reviewed by a lawyer. Details: Does intellectual property created  by one party become the property of the counterparty, either per the terms of the contract or upon the occurrence of certain events?","EFS hereby irrevocably assigns, and Client hereby accepts, all right,  title and interest in and to each and every Authorized Modification, and EFS agrees to cooperate with all reasonable requests by  Client to effect or perfect such assignment., In the event that EFS creates any modifications, alterations or other derivative works of any Playboy Content  (""Derivative Works""), EFS hereby irrevocably assigns to Client all right, title and interest in and to all of those Derivative Works,  including the copyrights and other proprietary rights therein., To the extent that EFS is deemed to obtain any interest or ownership  rights in the Client Property, EFS hereby assigns, transfers and conveys to Client, to the maximum extent permitted by applicable  Law, all of EFS' right, title and interest therein used or created by EFS under or in connection with this Agreement so that Client  will be the sole owner of all rights therein and further agrees to cooperate with Client during and after the Term to effect and  perfect all assignments., To the  extent that Client is deemed to obtain any interest or ownership rights in the EFS Property, Client hereby assigns, transfers and  conveys to EFS, to the maximum extent permitted by applicable Law, all of Client's right, title and interest therein used by Client  under or in connection with this Agreement so that EFS will be the sole owner of all rights therein and further agrees to cooperate  with EFS during and after the Term to effect and perfect all assignments., Client shall own all content produced pursuant to Section 1.1(f) (whether or not actually used), and  EFS hereby assigns to Client all right, title and interest, including all rights in copyright, in and to the photographs and materials,  and agrees to cooperate with all reasonable requests by Client, and take all reasonable actions, to effect or perfect such  assignment.",PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement1__Ip Ownership Assignment
24,Is there any clause providing for joint or shared ownership of intellectual property between the parties to the contract?,"Highlight the parts (if any) of this contract related to ""Joint Ip Ownership"" that should be reviewed by a lawyer. Details: Is there any clause providing for joint or shared ownership of intellectual property between the parties to the contract?","Client and EFS shall jointly own and have rights to all User Data  collected hereunder provided, however, that EFS shall only use the User Data in strict accordance with the Privacy Policy and,  subject to the remainder of this Section 5, solely in connection with the Playboy Commerce Business.",PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement1__Joint Ip Ownership
25,Does the contract contain a license granted by one party to its counterparty?,"Highlight the parts (if any) of this contract related to ""License Grant"" that should be reviewed by a lawyer. Details: Does the contract contain a license granted by one party to its counterparty?","Client hereby grants  to EFS a limited and perpetual right and license to use such photographs and materials for research and forecasting purposes,  including, but not limited to, combining the same with reports and analytics concerning the performance of the Websites, providing  information to strategic partners to better define consumer purchasing habits, and for trend forecasting and planning purposes., Business., Client holds certain customer data relating to the Playboy Commerce Business (""Existing  Customer Data"") and hereby grants to EFS a non-exclusive, limited, non-sublicensable, non-transferable, revocable license to  store and use such Existing Customer Data solely for purposes of the operation and promotion of the Playboy Commerce, All Derivative Works are  hereby licensed back to EFS subject to the limitations that are applicable hereunder to the Playboy Content., During the Term and subject to the terms, conditions, and limitations set forth in this Agreement,  Client grants EFS a limited, non-exclusive, non-transferable, non-assignable (without any right to sublicense), world-wide license  to use the Client trademarks and/or service marks as set forth on Part A of Exhibit 1 (the ""Playboy Marks"") solely in connection  with the design, publication, distribution, operation and promotion of the Playboy Commerce Business., All such photographs shall be deemed  Playboy Content for purposes of this Agreement, for which EFS shall have a license to use during the Term solely in connection  with the Playboy Commerce Business and as is necessary to promote the Websites., During the Term and subject to the terms, conditions, and limitations set forth in this Agreement,  Client grants EFS a limited, non-exclusive, non-transferable, non-assignable (without any right to sublicense), world-wide license  to use, modify, create derivative works of, publish, reproduce, broadcast, exhibit and display the Playboy Content solely in  connection with the design, publication, distribution, operation and promotion of the Playboy Commerce Business., During the Term and subject to the terms, conditions and limitations of this Agreement, Client  hereby grants EFS, a limited, non-transferable, non-assignable (without any right to sublicense) world-wide license to use the  Internet location or resource designators (URLs, domain names, etc.) set forth in Part B of Exhibit 1 hereto, and/or to the extent  approved in advance in writing by Client, as the case may be, modifications thereof (the ""Licensed Domain Names""), as the  domain name(s) and Internet locators/designators for the Websites during the Term.",PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement1__License Grant
26,Does the contract limit the ability of a party to transfer the license being granted to a third party?,"Highlight the parts (if any) of this contract related to ""Non-Transferable License"" that should be reviewed by a lawyer. Details: Does the contract limit the ability of a party to transfer the license being granted to a third party?","Business., Client holds certain customer data relating to the Playboy Commerce Business (""Existing  Customer Data"") and hereby grants to EFS a non-exclusive, limited, non-sublicensable, non-transferable, revocable license to  store and use such Existing Customer Data solely for purposes of the operation and promotion of the Playboy Commerce, During the Term and subject to the terms, conditions, and limitations set forth in this Agreement,  Client grants EFS a limited, non-exclusive, non-transferable, non-assignable (without any right to sublicense), world-wide license  to use the Client trademarks and/or service marks as set forth on Part A of Exhibit 1 (the ""Playboy Marks"") solely in connection  with the design, publication, distribution, operation and promotion of the Playboy Commerce Business., During the Term and subject to the terms, conditions, and limitations set forth in this Agreement,  Client grants EFS a limited, non-exclusive, non-transferable, non-assignable (without any right to sublicense), world-wide license  to use, modify, create derivative works of, publish, reproduce, broadcast, exhibit and display the Playboy Content solely in  connection with the design, publication, distribution, operation and promotion of the Playboy Commerce Business., During the Term and subject to the terms, conditions and limitations of this Agreement, Client  hereby grants EFS, a limited, non-transferable, non-assignable (without any right to sublicense) world-wide license to use the  Internet location or resource designators (URLs, domain names, etc.) set forth in Part B of Exhibit 1 hereto, and/or to the extent  approved in advance in writing by Client, as the case may be, modifications thereof (the ""Licensed Domain Names""), as the  domain name(s) and Internet locators/designators for the Websites during the Term.",PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement1__Non-Transferable License
30,Does the contract contain a  license grant that is irrevocable or perpetual?,"Highlight the parts (if any) of this contract related to ""Irrevocable Or Perpetual License"" that should be reviewed by a lawyer. Details: Does the contract contain a  license grant that is irrevocable or perpetual?","Client hereby grants  to EFS a limited and perpetual right and license to use such photographs and materials for research and forecasting purposes,  including, but not limited to, combining the same with reports and analytics concerning the performance of the Websites, providing  information to strategic partners to better define consumer purchasing habits, and for trend forecasting and planning purposes.",PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement1__Irrevocable Or Perpetual License
32,"Is a party subject to obligations after the termination or expiration of a contract, including any post-termination transition, payment, transfer of IP, wind-down, last-buy, or similar commitments?","Highlight the parts (if any) of this contract related to ""Post-Termination Services"" that should be reviewed by a lawyer. Details: Is a party subject to obligations after the termination or expiration of a contract, including any post-termination transition, payment, transfer of IP, wind-down, last-buy, or similar commitments?","(g) If so requested by Client in connection with a planned or potential continuation of the business, EFS shall  cooperate with Client and its affiliates in order to transfer any remaining operations to them or any other entity that Client may so  designate without interruption of the Playboy Commerce Business' availability., Upon and after the termination of this Agreement (the ""Termination Date""):, As of the Termination Date, EFS shall not process any new orders placed through the  Playboy Commerce Business. Notwithstanding the foregoing, EFS may fulfill any outstanding orders placed through the Playboy  Commerce Business prior to the Termination Date and may continue collection activities related thereto, which shall be subject to  Section 6 hereof.",PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement1__Post-Termination Services
33,"Does a party have the right to  audit the books, records, or physical locations of the counterparty to ensure compliance with the contract?","Highlight the parts (if any) of this contract related to ""Audit Rights"" that should be reviewed by a lawyer. Details: Does a party have the right to  audit the books, records, or physical locations of the counterparty to ensure compliance with the contract?","During the Term of this Agreement and for two (2) years  thereafter, (a) EFS shall maintain complete and accurate books and records relating to revenue generated under this Agreement;  and (b) Client and/or its authorized representative(s) shall have the right to examine, review, copy and audit EFS' books and  records relating to revenue generated under this Agreement to verify the accuracy of the payments and associated information  provided by EFS and to verify EFS' compliance with the terms and conditions of this Agreement., Client and its nominees, employees, agents and representatives shall have the right to enter  upon and inspect, at all reasonable hours of the day, any and all such location(s) and to take, without payment, individual  samples of any of the EFS Produced Merchandise and the Materials as Client reasonably requires for the purposes of such  inspection., (b) A copy of EFS' Independent Auditors' Report and audited balance sheet for each Year of the Term within  thirty (30) days of the close of such audit., EFS shall provide, at its sole expense:",PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement1__Audit Rights
34,Is a party’s liability uncapped upon the breach of its obligation in the contract? This also includes uncap liability for a particular type of breach such as IP infringement or breach of confidentiality obligation.,"Highlight the parts (if any) of this contract related to ""Uncapped Liability"" that should be reviewed by a lawyer. Details: Is a party’s liability uncapped upon the breach of its obligation in the contract? This also includes uncap liability for a particular type of breach such as IP infringement or breach of confidentiality obligation.","EXCEPT IN THE EVENT OF A BREACH OF SECTION 8 (CONFIDENTIALITY) OR  LIABILITY ARISING UNDER A PARTY'S INDEMNIFICATION OBLIGATIONS UNDER SECTION 12, IN NO  EVENT SHALL EITHER PARTY BE LIABLE FOR ANY INDIRECT, SPECIAL, INCIDENTAL, PUNITIVE OR  CONSEQUENTIAL DAMAGES ARISING OUT OF OR IN ANY WAY CONNECTED WITH THIS AGREEMENT OR  ANY MATTER RELATED HERETO, INCLUDING WITHOUT LIMITATION, LOST BUSINESS OR LOST PROFITS,  EVEN IF SUCH PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement1__Uncapped Liability
35,Does the contract include a cap on liability upon the breach of a party’s obligation? This includes time limitation for the counterparty to bring claims or maximum amount for recovery.,"Highlight the parts (if any) of this contract related to ""Cap On Liability"" that should be reviewed by a lawyer. Details: Does the contract include a cap on liability upon the breach of a party’s obligation? This includes time limitation for the counterparty to bring claims or maximum amount for recovery.","EXCEPT IN THE EVENT OF A BREACH OF SECTION 8 (CONFIDENTIALITY) OR  LIABILITY ARISING UNDER A PARTY'S INDEMNIFICATION OBLIGATIONS UNDER SECTION 12, IN NO  EVENT SHALL EITHER PARTY BE LIABLE FOR ANY INDIRECT, SPECIAL, INCIDENTAL, PUNITIVE OR  CONSEQUENTIAL DAMAGES ARISING OUT OF OR IN ANY WAY CONNECTED WITH THIS AGREEMENT OR  ANY MATTER RELATED HERETO, INCLUDING WITHOUT LIMITATION, LOST BUSINESS OR LOST PROFITS,  EVEN IF SUCH PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement1__Cap On Liability
38,Is there a requirement for insurance that must be maintained by one party for the benefit of the counterparty?,"Highlight the parts (if any) of this contract related to ""Insurance"" that should be reviewed by a lawyer. Details: Is there a requirement for insurance that must be maintained by one party for the benefit of the counterparty?","Such notice shall include written confirmation and details of replacement insurance coverages and  other material revisions to the policies, which shall be effective immediately upon any cancellation or material change in EFS'  policies in order that no gap in coverage results., EFS agrees that these policies shall not be canceled or materially changed without at least thirty (30) days'  prior written notice to Client., EFS shall maintain at all times during the Term of this Agreement insurance as provided below and  shall name Client, its parent company, subsidiaries and affiliated entities and their respective officers, directors, shareholders,  agents and employees as additional insureds to the extent of indemnity provided herein under its liability policies as follows:     (i) Commercial general liability insurance including premises/operations, broad form property damage,  independent contractors, and contractual liability covering EFS' obligations hereunder for bodily injury and property damage, with  a combined single limit of not less than $1,000,000 each occurrence and $6,000,000 umbrella coverage;     (ii) Workers' compensation insurance in statutory amounts covering EFS and its employees; and     (iii) Errors and omissions insurance, and employer's liability insurance in an amount not less than  $1,000,000 per accident/disease., of no less than A-., All insurance required above shall be carried with insurance companies licensed to do business in the  state(s) where operations are maintained with a rating, EFS shall deliver to Client, upon execution of the Agreement, certificates of insurance as evidence of the  required coverages.",PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement1__Insurance
