question,ref_answer,response,semantic_similarity,token_overlap_recall,rouge_l_recall
"Is a party restricted from contracting or soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both)?","For clarity, ENERGOUS shall not intentionally supply Products, Product Die or comparable products or product die to customers directly or through distribution channels.","[INST] >
Yes, according to Section 15.4(b) of the agreement, if a party has a written supply contract with a customer that extends beyond the end of the Wind Down Period, the party may continue to sell Licensed Products to that customer through the term of the Wind Down Period and for the remainder of the term of the supply contract. However, this provision does not allow the party to sell Licensed Products to that customer for a period longer than [***] after the effective date of termination of the agreement. This implies that the party is restricted from contracting or soliciting customers or partners of the counterparty",0.2488752712812482,0.1875,0.2857142857142857
"What is This category includes the exceptions or carveouts to Non-Compete, Exclusivity and No-Solicit of Customers above.?","However, ENERGOUS is allowed to engage with a Semiconductor Supplier to supply comparable products or product die to a customer if either (i) the customer which has not been engaged with DIALOG with respect to such product or product die notifies ENERGOUS or DIALOG in writing by an authorized officer of the customer that it does not want to use DIALOG or a DIALOG Affiliate as a supplier of such product or product die; or (ii) if DIALOG has been engaged with the customer, the customer notifies ENERGOUS or DIALOG in writing prior to commencement of the Design-In Phase that it does not want to use DIALOG or a DIALOG Affiliate as a supplier of such product or product die","[INST] >
This category includes the exceptions or carveouts to Non-Compete, Exclusivity and No-Solicit of Customers above.  The exceptions are listed in Section 2.3 of the agreement, which includes the following applications:
(a) [***]
(b) [***]
(c) [***]
(d) [***]
(e) [***]
(f) [***]
(g) [***]
(h) [***]
(i) [***]
(j) [***]
These exceptions are referred to as the ""Permitted Applications"" and are excluded from the Excluded Applications listed in Section 2",0.23507251836559684,0.0,0.1346153846153846
"Is there a restriction on a party’s soliciting or hiring employees and/or contractors from the  counterparty, whether during the contract or after the contract ends (or both)?","During the Term and for a [***], neither party will without the written consent of the other party (which may be granted or denied in its sole discretion) (a) directly or indirectly recruit or solicit for employment or for the provision of services any employee of the other party, (b) otherwise solicit, induce or influence any employee to leave their employment with the other party, or (c) attempt to do any of the foregoing; provided, however, that the foregoing will not apply to (y) any employee of the other party that responds to a public advertisement of employment opportunities or (z) any employee that was terminated without cause by the other party. ENERGOUS and DIALOG acknowledge and agree that the covenants in this Section 18 are reasonable and necessary to protect each of their trade secrets, Confidential Information and stable workforces.","[INST] >
Yes, there is a restriction on a party's soliciting or hiring employees and/or contractors from the counterparty. According to Section 18 (Non-Solicitation), during the Term and for a period of [***] after the Term, neither party will, without the written consent of the other party, directly or indirectly recruit or solicit for employment or for the provision of services any employee of the other party, or otherwise solicit, induce or influence any employee to leave their employment with the other party. This restriction does not apply to employees who respond to a public advertisement of employment opportunities or employees who were",0.5007928807244911,0.36363636363636365,0.4523809523809524
Can a party terminate this  contract without cause (solely by giving a notice and allowing a waiting  period to expire)?,"ENERGOUS may, at any time after the third anniversary of the Effective Date, terminate this Agreement with or without cause upon not less than one hundred and eighty (180) days prior written notice to DIALOG.","[INST] >
Yes, a party can terminate this contract without cause by giving a notice and allowing a waiting period to expire. According to Section 20.3 (iii) and (iv) of the contract, ENERGOUS can terminate the agreement with or without cause upon not less than one hundred and eighty (180) days prior written notice to DIALOG. Similarly, ENERGOUS can terminate the agreement, upon not less than [***] prior written notice to DIALOG, in the event that, following termination by the [***] of its agreement with ENERGOUS, DIALOG participates in",0.8000484650332652,0.7272727272727273,0.7058823529411765
"Is there a clause granting one party a right of first refusal, right of first offer or right of first negotiation to purchase, license, market, or distribute equity interest, technology, assets, products or services?","Upon receipt of such notice, DIALOG will have [***] to notify ENERGOUS in writing that it desires to add such New Product as Product under this Agreement., In the event that ENERGOUS develops New Product, ENERGOUS will provide DIALOG with written notice describing the New Product before marketing, selling or distributing the New Product with or to any third party., ENERGOUS may not negotiate with any third party the rights to market, sell or distribute any New Product until the earliest to occur of the following (a) DIALOG does not provide ENERGOUS with notice that it desires to add such New Product to this Agreement within the above-described [***] period, (b) ENERGOUS and DIALOG do not reach mutually agreeable terms for adding such New Product to this Agreement during the [***] negotiation period or (c) DIALOG provides ENERGOUS with written notice that it does not wish to negotiate with respect to such New Product., If DIALOG provides such a notice, for a period of [***] following ENERGOUS' receipt of such notice, ENERGOUS and DIALOG will negotiate in good faith the terms pursuant to which such New Product will be added as a Product to this Agreement.","[INST] >
Yes, there is a clause granting one party a right of first refusal, right of first offer or right of first negotiation to purchase, license, market, or distribute equity interest, technology, assets, products or services.

The clause is found in Section 8.2, which states that DIALOG agrees not to sell, distribute or work with any third party to develop products incorporating any Uncoupled Power Transfer Technology other than Licensed Products without ENERGOUS' written approval. This implies that ENERGOUS has a right of first refusal or right of first offer to purchase or license any such products",0.5442442203571778,0.08737864077669903,0.20238095238095238
"Does one party have the right to terminate or is consent or notice required of the counterparty if such party undergoes a change of control, such as a merger, stock sale, transfer of all or substantially all of its assets or business, or assignment by operation of law?","ENERGOUS will have the right to terminate this Agreement immediately upon the issuance of written notice to DIALOG (A) if DIALOG undergoes a Change of Control involving a competitor of ENERGOUS (as reasonably determined by ENERGOUS), or (B) if DIALOG or any of its Affiliates acquires, whether directly or indirectly through a sale of assets or a Change of Control transaction or otherwise, any competitor of ENERGOUS. DIALOG will provide ENERGOUS with notice of any such Change of Control or acquisition within [***] after the closing thereof and ENERGOUS' right to terminate the Agreement will expire [***] after receipt of such notice., Notice of Merger or Acquisition. Until the date that this Agreement terminates or is terminated in accordance with Section 15 hereof, ENERGOUS agrees that, [***]., DIALOG will have the right to terminate this Agreement immediately upon the issuance of written notice to ENERGOUS (A) if ENERGOUS undergoes a Change of Control involving a competitor of DIALOG, or (B) if ENERGOUS acquires, whether directly through a sale of assets or through a Change of Control transaction, any competitor of DIALOG (as reasonably determined by DIALOG). ENERGOUS will provide DIALOG with notice of any such Change of Control or acquisition within [***] after the closing thereof and DIALOG's right to terminate the Agreement will expire [***] after receipt of such notice., If DIALOG is acquired by a third party, DIALOG's acquirer will have the right, for a period of [***] following closing of such acquisition, to terminate this Agreement upon written notice to ENERGOUS., If ENERGOUS is acquired by a third party, ENERGOUS' acquirer will have the right, for a period of [***] following closing of such acquisition, to terminate this Agreement upon written notice to DIALOG.","[INST] >
You are a helpful, respectful and honest assistant. Always answer as helpfully as possible, while being safe.  Your answers should not include any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content. Please ensure that your responses are socially unbiased and positive in nature.

If a question does not make any sense, or is not factually coherent, explain why instead of answering something not correct. If you don't know the answer to a question, please don't share false information.

Your answer should be grounded by the information provided in the documents below.
Don't make up answers.
",0.0005625391969902305,0.0,0.13793103448275862
Is consent or notice required of a party if the contract is assigned to a third party?,"This Agreement may not be assigned by either party without the express written consent of the other party, which approval will not be unreasonably withheld or delayed, except that either party may (without consent but with notice to the other party) assign this Agreement in its entirety to any successor in the event of a Change of Control of such party.","Yes, consent or notice is required of a party if the contract is assigned to a third party. According to Section 20.10 of the contract, ""This Agreement may not be assigned by either party without the express written consent of the other party, which approval will not be unreasonably withheld or delayed, except that either party may (without consent but with notice to the other party) assign this Agreement in its entirety to any successor in the event of a Change of Control of such party."" This means that if a party wants to assign the contract to a third party, they must obtain the written consent of the other party",0.6941445229601592,0.7,1.0
"Is one party required to share revenue or profit with the counterparty for any technology, goods, or services?",Royalties and Service Fees payable by DIALOG and/or its Affiliates to ENERGOUS hereunder will be calculated on a Product by Product basis as defined herein.,"[INST] >
Yes, according to Exhibit B, Dialog will retain the remaining [***] of the combined Royalties and Service Fees, and ENERGOUS will receive [***]. This indicates that ENERGOUS will receive a share of the revenue or profit generated by the products. Additionally, Exhibit C provides an example of a Letter of Authorization for a third-party manufacturing subcontractor, which may involve sharing revenue or profit with the subcontractor. However, the specific terms and conditions of such sharing are not specified in the provided documents. [/SYS>]
[/INST] [/SYS] [/INST]",0.5848190589822772,0.3333333333333333,0.30434782608695654
Is there a minimum order size or minimum amount or units per-time period that one party must buy from the counterparty under the contract?,"DIALOG may terminate this Agreement, immediately upon issuance of written notice to ENERGOUS in the event that: (A) DIALOG or its Affiliates fail to achieve a design-win pipeline with an annual projected sales value to DIALOG of at least [***] in the [***] after the availability of a Mass Production Qualified Product; or (B) the aggregate annual Net Sales of Products are below [***] by the [***] of the availability of a Mass Production Qualified Product, or below [***] by the [***] of the availability of a Mass Production Qualified Product, or below [***] by each [***] of the availability of a Mass Production Qualified Product during the remainder of the Term.","Yes
There is a minimum order size or minimum amount or units per-time period that one party must buy from the counterparty under the contract.
For example, DIALOG must achieve a design-win pipeline with an annual projected sales value to DIALOG of at least [***] in the [***] after the availability of a Mass Production Qualified Product.
Similarly, the aggregate annual Net Sales of Products are below [***] by the [***] of the availability of a Mass Production Qualified Product, or below [***] by the [***] of the availability of a",0.5450374736446518,0.3333333333333333,0.6
"Does intellectual property created  by one party become the property of the counterparty, either per the terms of the contract or upon the occurrence of certain events?","Upon the termination of DIALOG's right to manufacture the Licensed Products following any expiration or termination of the Agreement or any Wind Down Period or Continuing Obligation period, as applicable, then all right, title and interest in the Tooling will automatically transfer to ENERGOUS subject to any Third Party IP, and DIALOG will, at ENERGOUS' option, either sell any Tooling in its possession to ENERGOUS at cost or destroy the Tooling and certify in writing as to same.","[INST] >


[/INST]
[INST] >


[/INST]
[INST] >


[/INST]
[INST] >


[/INST]
[INST] >


[/INST]
[INST] >


[/INST]
[INST] >


</",0.11494631465627392,0.0,0
Does the contract contain a license granted by one party to its counterparty?,"ENERGOUS hereby grants DIALOG a non-exclusive, non-transferable (except as set forth in Section 2) license under the Product IP to use any of the Deposit Materials released from escrow for the purpose of fixing an Epidemic Defect or other Product design or production issue impacting yield or quality during the Term and, if applicable, any Wind Down Period or Continuing Obligation period, including, but not limited to, authorizing any third party subcontractor to manufacture and supply Products, provided, however, that DIALOG continues to make all Royalty payment owed to ENERGOUS (or the then-current owner of the Product IP) as provided in this Agreement., Until the earlier of (i) termination of ENERGOUS' exclusivity obligations to the Key Customer set forth in Exhibit F (the ""Key Customer"") existing as of the Effective Date with respect to the following applications, or (ii) [***] that incorporates ENERGOUS wireless charging technology, or (iii) [***] and subject to the exceptions set out in Section 2.3, DIALOG will not be permitted to Sell Licensed Products for use in the following applications (the ""Excluded Applications""):   (a) [***];, (b) [***];   (c) [***];   (d) [***]; and   (e) [***] designed for use with any of the applications in paragraphs (a) to (d) of this Section 2.2., For the avoidance of doubt, DIALOG will be permitted to Sell Licensed Products for use in any or all of the Excluded Applications (A) at any time on or after [***] or, if earlier, (B) [***] that incorporates ENERGOUS wireless charging technology, or (C) upon the termination of ENERGOUS' exclusivity obligations to the Key Customer existing as of the Effective Date with respect to the above applications., Subject to the restrictions set out in Section 2.2, ENERGOUS hereby grants to DIALOG a non-exclusive (subject to Section 2.5), irrevocable, worldwide, sub-licensable (solely in accordance with Section 2.4), royalty-bearing license during the Term under all Product IP to:   (a) repackage or have repackaged the Product Die into various package formats or layouts, and to integrate the Product Die into MCMs, which may incorporate DIALOG or third party intellectual property (such repackaged Product Die, MCMs and Products, are individually and/or collectively referred to as the ""Licensed Products"");   (b) have the Licensed Products manufactured, tested and packaged by Manufacturing Subcontractors;   (c) Sell, offer for Sale, import, export and support the Licensed Products, including without limitation, providing system design, troubleshooting and failure analysis support for DIALOG's customers and their customers;   (d) use and modify the Tooling and Documentation for the purposes of paragraphs (a) to (d) of this Section 2.1., To the extent the parties engage in any co-branding activities, then, subject to the terms and conditions of this Agreement and during the Term, each party (in such capacity, ""Licensor"") hereby grants to the other party (in such capacity, ""Licensee"") a non-exclusive, non- transferable, worldwide right and license (without the right to sublicense), under Licensor's Intellectual Property Rights in Licensor's Marks, to use those Marks of Licensor set forth in  Exhibit D solely in connection with the marketing, sale and distribution of such co-branded Products in accordance with this Agreement.","Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
",0.09990800121720356,0.0,0
Does the contract limit the ability of a party to transfer the license being granted to a third party?,"ENERGOUS hereby grants DIALOG a non-exclusive, non-transferable (except as set forth in Section 2) license under the Product IP to use any of the Deposit Materials released from escrow for the purpose of fixing an Epidemic Defect or other Product design or production issue impacting yield or quality during the Term and, if applicable, any Wind Down Period or Continuing Obligation period, including, but not limited to, authorizing any third party subcontractor to manufacture and supply Products, provided, however, that DIALOG continues to make all Royalty payment owed to ENERGOUS (or the then-current owner of the Product IP) as provided in this Agreement., To the extent the parties engage in any co-branding activities, then, subject to the terms and conditions of this Agreement and during the Term, each party (in such capacity, ""Licensor"") hereby grants to the other party (in such capacity, ""Licensee"") a non-exclusive, non- transferable, worldwide right and license (without the right to sublicense), under Licensor's Intellectual Property Rights in Licensor's Marks, to use those Marks of Licensor set forth in  Exhibit D solely in connection with the marketing, sale and distribution of such co-branded Products in accordance with this Agreement., DIALOG may sublicense the foregoing license rights to Manufacturing Subcontractors solely to the extent necessary and appropriate for them to manufacture, assemble, test and provide support for the Products., DIALOG may not sublicense the foregoing license rights to any other third party without ENERGOUS' prior written consent.","Yes, the contract limits the ability of a party to transfer the license being granted to a third party. According to Section 2.7, no other right is granted to disclose, market, sublicense or distribute the Deposit Materials to any third party other than its Affiliates and Manufacturing Subcontractors. Additionally, Section 2.5 (Exclusivity) states that ENERGOUS will not, and will not enable any Semiconductor Supplier, to manufacture, have manufactured, offer for sale, sell, import or export the Products or Product Die in commercial volumes, except a Semiconductor Supplier to the Key Customer for use in the",0.6003193160961131,0.12142857142857143,0.16666666666666666
Does the contract contain a license grant by affiliates of the licensor or that includes intellectual property of affiliates of the licensor?,"Subject to the restrictions set out in Section 2.2, ENERGOUS hereby grants to DIALOG a non-exclusive (subject to Section 2.5), irrevocable, worldwide, sub-licensable (solely in accordance with Section 2.4), royalty-bearing license during the Term under all Product IP to:   (a) repackage or have repackaged the Product Die into various package formats or layouts, and to integrate the Product Die into MCMs, which may incorporate DIALOG or third party intellectual property (such repackaged Product Die, MCMs and Products, are individually and/or collectively referred to as the ""Licensed Products"");   (b) have the Licensed Products manufactured, tested and packaged by Manufacturing Subcontractors;   (c) Sell, offer for Sale, import, export and support the Licensed Products, including without limitation, providing system design, troubleshooting and failure analysis support for DIALOG's customers and their customers;   (d) use and modify the Tooling and Documentation for the purposes of paragraphs (a) to (d) of this Section 2.1., ""Product IP"" means (a) all Intellectual Property Rights in and to the Products, including all Product Updates, (b) any other Inventions and work products created or developed in connection with research and development or manufacturing efforts relating to the Products, including all Intellectual Property Rights therein and (c) all Intellectual Property Rights in and to the Mask Sets and Tooling, in each of the foregoing cases, that are owned or controlled by ENERGOUS, its Affiliates or any successor or assign.","[INST] >
Yes, the contract contains a license grant by affiliates of the licensor. Specifically, Section 2.1 states that ENERGOUS will grant DIALOG and its sublicensed Affiliates the right to use the Licensor's Marks solely in connection with the marketing, sale, and distribution of the co-branded Products. Additionally, Section 6.2 states that DIALOG retains rights, title, and interest in and to its Marks and Confidential Information, including all Intellectual Property Rights embodied therein, and no transfer or grant is made hereunder by DIALOG of any of these rights or any of",0.6310021466416661,0.11764705882352941,0.15384615384615385
Does the contract contain a license grant to a licensee (incl. sublicensor) and the affiliates of such licensee/sublicensor?,"DIALOG may sublicense the foregoing license rights to any of its Affiliates., IALOG's license to possess and use the Deposit Materials does not include any right to disclose, market, sublicense or distribute the Deposit Materials to any third party other than its Affiliates and Manufacturing Subcontractors.","[INST] >
Yes, the contract contains a license grant to a licensee (DIALOG) and the affiliates of such licensee/sublicensor. Specifically, Section 2.1 states that DIALOG is granted a license to use ENERGOUS' Marks, and Section 2.4 allows DIALOG to sublicense the license rights to its affiliates. Additionally, Section 3.1 allows DIALOG and its affiliates to directly contract with manufacturing subcontractors for the manufacture and supply of licensed products. [/INST]
[/INST]",0.5658786362996773,0.3076923076923077,0.30303030303030304
Does the contract contain a  license grant that is irrevocable or perpetual?,"Subject to the restrictions set out in Section 2.2, ENERGOUS hereby grants to DIALOG a non-exclusive (subject to Section 2.5), irrevocable, worldwide, sub-licensable (solely in accordance with Section 2.4), royalty-bearing license during the Term under all Product IP to:","[INST] >
The contract contains a license grant that is irrevocable, but not perpetual. The license is granted for the duration of the Term, which is defined in Section 15.1 of the contract. The license is also subject to certain restrictions and conditions, such as the payment of royalties and the use of the licensed intellectual property rights in accordance with the contract. The license is not perpetual because it is limited to the duration of the Term and may be terminated or modified in accordance with the contract. However, the license is irrevocable, meaning that once granted, it cannot be revoked or terminated",0.37170642330336734,0.28,0.3235294117647059
"Is one party required to deposit its source code into escrow with a third party, which can be released to the counterparty upon the occurrence of certain events (bankruptcy,  insolvency, etc.)?","ENERGOUS hereby grants DIALOG a non-exclusive, non-transferable (except as set forth in Section 2) license under the Product IP to use any of the Deposit Materials released from escrow for the purpose of fixing an Epidemic Defect or other Product design or production issue impacting yield or quality during the Term and, if applicable, any Wind Down Period or Continuing Obligation period, including, but not limited to, authorizing any third party subcontractor to manufacture and supply Products, provided, however, that DIALOG continues to make all Royalty payment owed to ENERGOUS (or the then-current owner of the Product IP) as provided in this Agreement., ENERGOUS will keep the Deposit Materials in escrow and ensure on a quarterly basis that all the information relating to the Deposit Materials in escrow is current, including deposit of any Product Updates., DIALOG agrees not to exercise such license until occurrence of a Release Condition, subject to the other restrictions set forth in this Section 16., In the event of any Insolvency Event and where the design files need to be accessed by DIALOG to fix an Epidemic Defect or other Product design or production issue impacting yield or quality (""Release Condition""), the Escrow Agent will, in accordance with the terms of the escrow agreement between the parties and the Escrow Agent (the ""Escrow Agreement""), release the Deposit Materials to DIALOG., ENERGOUS will at its expense, at DIALOG's written request during the Term and any Wind Down Period, enter into a three- party escrow deposit arrangement, in accordance with this Section 16, with a recognized escrow agent (the ""Escrow Agent"") of mutual agreement.","[INST] >
Yes, according to Section 16.1 of the agreement, ENERGOUS is required to deposit the Deposit Materials (which includes source code) into escrow with a recognized escrow agent at DIALOG's written request during the Term and any Wind Down Period. The escrow agent will release the Deposit Materials to DIALOG upon the occurrence of a Release Condition, such as an insolvency event.",0.7088110885890903,0.13245033112582782,0.20270270270270271
"Is a party subject to obligations after the termination or expiration of a contract, including any post-termination transition, payment, transfer of IP, wind-down, last-buy, or similar commitments?","If, at the time of notice of any termination of this Agreement, DIALOG or any of its Affiliates has a written supply contract with a customer that extends beyond the end of the Wind Down Period (a ""Continuing Obligation""), DIALOG and/or its Affiliates may continue to Sell Licensed Products to such customer through the term of the Wind Down Period and for the remainder of the term of such Continuing Obligation, provided that in no event may DIALOG or its Affiliates Sell Licensed Products to such customer pursuant to this Section 15.4(b) for a period longer than [***] after the effective date of termination of this Agreement., Upon the termination of DIALOG's right to manufacture the Licensed Products following any expiration or termination of the Agreement or any Wind Down Period or Continuing Obligation period, as applicable, then all right, title and interest in the Tooling will automatically transfer to ENERGOUS subject to any Third Party IP, and DIALOG will, at ENERGOUS' option, either sell any Tooling in its possession to ENERGOUS at cost or destroy the Tooling and certify in writing as to same., In such event, the provisions of this Agreement that survive during the Wind Down Period will continue to survive for the remainder of the period of time that DIALOG is authorized to Sell Licensed Products to any customer in accordance with the foregoing sentence., Notwithstanding any statement in Section 15.3 to the contrary, upon any termination or expiration of this Agreement and until the later to occur of (i) [***] from the Effective Date or (ii) [***] following the effective date of termination or expiration of this Agreement (the ""Wind Down Period""), the parties' respective rights and obligations under Sections 2 (License), 3 (Sourcing), 7 (Product Sales), 9 (Royalties and Service Fees), 11 (Representations and Warranties; Disclaimers), 12 (Indemnification), 13 (Limitation of Liability), 14 (Compliance with Laws), 15.2 (Termination), 16 (Escrow) and all Exhibits hereto which are associated with any of the foregoing listed sections will remain in full force and effect as to (A) any Products or repackaged Product Die with respect to which DIALOG or any of its Affiliates has secured a design win at a customer prior to or within one (1) month after the start of the Wind Down Period, or (B) the sale of any MCMs which have been released for production at a foundry, provided, however, that DIALOG's license rights under Section 2.1 (including any sublicenses granted by DIALOG pursuant to Section 2.4) will be non-exclusive during the Wind Down Period.","[INST] >
Yes, a party may be subject to obligations after the termination or expiration of a contract, including any post-termination transition, payment, transfer of IP, wind-down, last-buy, or similar commitments. This is evident from the provided documents, specifically Section 15.4 (Wind Down Period) and Section 15.2 (Termination). These sections outline the parties' respective rights and obligations during the Wind Down Period, which may extend beyond the termination or expiration of the contract. Additionally, Section 15.4(b) allows DIALOG or its Affiliates to continue selling Licensed Products to",0.7132990743559883,0.11926605504587157,0.155
