index,question,input,answer,qa_id
10,Which state/country's law governs the interpretation of the contract?,"Highlight the parts (if any) of this contract related to ""Governing Law"" that should be reviewed by a lawyer. Details: Which state/country's law governs the interpretation of the contract?","This Letter of Authorization will be governed by and construed in accordance with the laws of California, excluding its conflict of laws provisions, and be subject to the non-exclusive jurisdiction of the California courts.",ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__Governing Law
11,Which state/country's law governs the interpretation of the contract?,"Highlight the parts (if any) of this contract related to ""Governing Law"" that should be reviewed by a lawyer. Details: Which state/country's law governs the interpretation of the contract?","This Agreement will be governed by and construed in accordance with the laws of the State of California, exclusive of conflict of laws principles.",ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__Governing Law
12,Is there a restriction on the ability of a party to compete with the counterparty or operate in a certain geography or business or technology sector?,"Highlight the parts (if any) of this contract related to ""Non-Compete"" that should be reviewed by a lawyer. Details: Is there a restriction on the ability of a party to compete with the counterparty or operate in a certain geography or business or technology sector? ","Until expiration or earlier termination of the Agreement, DIALOG agrees that it and its Affiliates will not, without ENERGOUS' written approval, intentionally sell, distribute or work with any third party to develop products incorporating any Uncoupled Power Transfer Technology other than Licensed Products; provided, however, that DIALOG shall not be under any such restrictions in relation to services or products it provides to the Key Customer in the event the Key Customer terminates its agreement with ENERGOUS.",ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__Non-Compete
13,Is there a restriction on the ability of a party to compete with the counterparty or operate in a certain geography or business or technology sector?,"Highlight the parts (if any) of this contract related to ""Non-Compete"" that should be reviewed by a lawyer. Details: Is there a restriction on the ability of a party to compete with the counterparty or operate in a certain geography or business or technology sector? ","DIALOG will have the right to terminate this Agreement immediately upon the issuance of written notice to ENERGOUS (A) if ENERGOUS undergoes a Change of Control involving a competitor of DIALOG, or (B) if ENERGOUS acquires, whether directly through a sale of assets or through a Change of Control transaction, any competitor of DIALOG (as reasonably determined by DIALOG). ENERGOUS will provide DIALOG with notice of any such Change of Control or acquisition within [***] after the closing thereof and DIALOG's right to terminate the Agreement will expire [***] after receipt of such notice.",ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__Non-Compete
14,Is there a restriction on the ability of a party to compete with the counterparty or operate in a certain geography or business or technology sector?,"Highlight the parts (if any) of this contract related to ""Non-Compete"" that should be reviewed by a lawyer. Details: Is there a restriction on the ability of a party to compete with the counterparty or operate in a certain geography or business or technology sector? ","ENERGOUS will have the right to terminate this Agreement, upon not less than [***] prior written notice to DIALOG, in the event that, following termination by the [***] of its agreement with ENERGOUS, DIALOG participates in or indicates its intention to participate in the development, design or manufacture of products incorporating Uncoupled Power Transfer Technology not provided by ENERGOUS to [***].",ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__Non-Compete
15,"Is there an exclusive dealing  commitment with the counterparty? This includes a commitment to procure all “requirements” from one party of certain technology, goods, or services or a prohibition on licensing or selling technology, goods or services to third parties, or a prohibition on  collaborating or working with other parties), whether during the contract or  after the contract ends (or both).","Highlight the parts (if any) of this contract related to ""Exclusivity"" that should be reviewed by a lawyer. Details: Is there an exclusive dealing  commitment with the counterparty? This includes a commitment to procure all “requirements” from one party of certain technology, goods, or services or a prohibition on licensing or selling technology, goods or services to third parties, or a prohibition on  collaborating or working with other parties), whether during the contract or  after the contract ends (or both).","If DIALOG decides to discontinue Sales of any Product, it will notify ENERGOUS at least [***] prior to such discontinuance, and following such notification, the exclusivity rights, if any, associated with that Product will cease; provided, however, this provision will not apply in the event that DIALOG continues Sales of Product Updates, repackaged Product Dies or MCMs.",ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__Exclusivity
16,"Is there an exclusive dealing  commitment with the counterparty? This includes a commitment to procure all “requirements” from one party of certain technology, goods, or services or a prohibition on licensing or selling technology, goods or services to third parties, or a prohibition on  collaborating or working with other parties), whether during the contract or  after the contract ends (or both).","Highlight the parts (if any) of this contract related to ""Exclusivity"" that should be reviewed by a lawyer. Details: Is there an exclusive dealing  commitment with the counterparty? This includes a commitment to procure all “requirements” from one party of certain technology, goods, or services or a prohibition on licensing or selling technology, goods or services to third parties, or a prohibition on  collaborating or working with other parties), whether during the contract or  after the contract ends (or both).","Subject to paragraph (b) of this Section 2.5, ENERGOUS will not, and will not enable any Semiconductor Supplier, to manufacture, have manufactured, offer for sale, sell, import or export the Products or Product Die in commercial volumes, except a Semiconductor Supplier to the Key Customer for use in the Excluded Applications.",ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__Exclusivity
17,"Is a party restricted from contracting or soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both)?","Highlight the parts (if any) of this contract related to ""No-Solicit Of Customers"" that should be reviewed by a lawyer. Details: Is a party restricted from contracting or soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both)?","For clarity, ENERGOUS shall not intentionally supply Products, Product Die or comparable products or product die to customers directly or through distribution channels.",ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__No-Solicit Of Customers
18,"What is This category includes the exceptions or carveouts to Non-Compete, Exclusivity and No-Solicit of Customers above.?","Highlight the parts (if any) of this contract related to ""Competitive Restriction Exception"" that should be reviewed by a lawyer. Details: This category includes the exceptions or carveouts to Non-Compete, Exclusivity and No-Solicit of Customers above.","However, ENERGOUS is allowed to engage with a Semiconductor Supplier to supply comparable products or product die to a customer if either (i) the customer which has not been engaged with DIALOG with respect to such product or product die notifies ENERGOUS or DIALOG in writing by an authorized officer of the customer that it does not want to use DIALOG or a DIALOG Affiliate as a supplier of such product or product die; or (ii) if DIALOG has been engaged with the customer, the customer notifies ENERGOUS or DIALOG in writing prior to commencement of the Design-In Phase that it does not want to use DIALOG or a DIALOG Affiliate as a supplier of such product or product die",ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__Competitive Restriction Exception
19,"Is there a restriction on a party’s soliciting or hiring employees and/or contractors from the  counterparty, whether during the contract or after the contract ends (or both)?","Highlight the parts (if any) of this contract related to ""No-Solicit Of Employees"" that should be reviewed by a lawyer. Details: Is there a restriction on a party’s soliciting or hiring employees and/or contractors from the  counterparty, whether during the contract or after the contract ends (or both)?","During the Term and for a [***], neither party will without the written consent of the other party (which may be granted or denied in its sole discretion) (a) directly or indirectly recruit or solicit for employment or for the provision of services any employee of the other party, (b) otherwise solicit, induce or influence any employee to leave their employment with the other party, or (c) attempt to do any of the foregoing; provided, however, that the foregoing will not apply to (y) any employee of the other party that responds to a public advertisement of employment opportunities or (z) any employee that was terminated without cause by the other party. ENERGOUS and DIALOG acknowledge and agree that the covenants in this Section 18 are reasonable and necessary to protect each of their trade secrets, Confidential Information and stable workforces.",ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__No-Solicit Of Employees
20,Can a party terminate this  contract without cause (solely by giving a notice and allowing a waiting  period to expire)?,"Highlight the parts (if any) of this contract related to ""Termination For Convenience"" that should be reviewed by a lawyer. Details: Can a party terminate this  contract without cause (solely by giving a notice and allowing a waiting  period to expire)?","ENERGOUS may, at any time after the third anniversary of the Effective Date, terminate this Agreement with or without cause upon not less than one hundred and eighty (180) days prior written notice to DIALOG.",ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__Termination For Convenience
21,"Is there a clause granting one party a right of first refusal, right of first offer or right of first negotiation to purchase, license, market, or distribute equity interest, technology, assets, products or services?","Highlight the parts (if any) of this contract related to ""Rofr/Rofo/Rofn"" that should be reviewed by a lawyer. Details: Is there a clause granting one party a right of first refusal, right of first offer or right of first negotiation to purchase, license, market, or distribute equity interest, technology, assets, products or services?","Upon receipt of such notice, DIALOG will have [***] to notify ENERGOUS in writing that it desires to add such New Product as Product under this Agreement.",ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__Rofr/Rofo/Rofn
22,"Is there a clause granting one party a right of first refusal, right of first offer or right of first negotiation to purchase, license, market, or distribute equity interest, technology, assets, products or services?","Highlight the parts (if any) of this contract related to ""Rofr/Rofo/Rofn"" that should be reviewed by a lawyer. Details: Is there a clause granting one party a right of first refusal, right of first offer or right of first negotiation to purchase, license, market, or distribute equity interest, technology, assets, products or services?","In the event that ENERGOUS develops New Product, ENERGOUS will provide DIALOG with written notice describing the New Product before marketing, selling or distributing the New Product with or to any third party.",ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__Rofr/Rofo/Rofn
23,"Is there a clause granting one party a right of first refusal, right of first offer or right of first negotiation to purchase, license, market, or distribute equity interest, technology, assets, products or services?","Highlight the parts (if any) of this contract related to ""Rofr/Rofo/Rofn"" that should be reviewed by a lawyer. Details: Is there a clause granting one party a right of first refusal, right of first offer or right of first negotiation to purchase, license, market, or distribute equity interest, technology, assets, products or services?","ENERGOUS may not negotiate with any third party the rights to market, sell or distribute any New Product until the earliest to occur of the following (a) DIALOG does not provide ENERGOUS with notice that it desires to add such New Product to this Agreement within the above-described [***] period, (b) ENERGOUS and DIALOG do not reach mutually agreeable terms for adding such New Product to this Agreement during the [***] negotiation period or (c) DIALOG provides ENERGOUS with written notice that it does not wish to negotiate with respect to such New Product.",ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__Rofr/Rofo/Rofn
24,"Is there a clause granting one party a right of first refusal, right of first offer or right of first negotiation to purchase, license, market, or distribute equity interest, technology, assets, products or services?","Highlight the parts (if any) of this contract related to ""Rofr/Rofo/Rofn"" that should be reviewed by a lawyer. Details: Is there a clause granting one party a right of first refusal, right of first offer or right of first negotiation to purchase, license, market, or distribute equity interest, technology, assets, products or services?","If DIALOG provides such a notice, for a period of [***] following ENERGOUS' receipt of such notice, ENERGOUS and DIALOG will negotiate in good faith the terms pursuant to which such New Product will be added as a Product to this Agreement.",ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__Rofr/Rofo/Rofn
25,"Does one party have the right to terminate or is consent or notice required of the counterparty if such party undergoes a change of control, such as a merger, stock sale, transfer of all or substantially all of its assets or business, or assignment by operation of law?","Highlight the parts (if any) of this contract related to ""Change Of Control"" that should be reviewed by a lawyer. Details: Does one party have the right to terminate or is consent or notice required of the counterparty if such party undergoes a change of control, such as a merger, stock sale, transfer of all or substantially all of its assets or business, or assignment by operation of law?","ENERGOUS will have the right to terminate this Agreement immediately upon the issuance of written notice to DIALOG (A) if DIALOG undergoes a Change of Control involving a competitor of ENERGOUS (as reasonably determined by ENERGOUS), or (B) if DIALOG or any of its Affiliates acquires, whether directly or indirectly through a sale of assets or a Change of Control transaction or otherwise, any competitor of ENERGOUS. DIALOG will provide ENERGOUS with notice of any such Change of Control or acquisition within [***] after the closing thereof and ENERGOUS' right to terminate the Agreement will expire [***] after receipt of such notice.",ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__Change Of Control
26,"Does one party have the right to terminate or is consent or notice required of the counterparty if such party undergoes a change of control, such as a merger, stock sale, transfer of all or substantially all of its assets or business, or assignment by operation of law?","Highlight the parts (if any) of this contract related to ""Change Of Control"" that should be reviewed by a lawyer. Details: Does one party have the right to terminate or is consent or notice required of the counterparty if such party undergoes a change of control, such as a merger, stock sale, transfer of all or substantially all of its assets or business, or assignment by operation of law?","Notice of Merger or Acquisition. Until the date that this Agreement terminates or is terminated in accordance with Section 15 hereof, ENERGOUS agrees that, [***].",ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__Change Of Control
27,"Does one party have the right to terminate or is consent or notice required of the counterparty if such party undergoes a change of control, such as a merger, stock sale, transfer of all or substantially all of its assets or business, or assignment by operation of law?","Highlight the parts (if any) of this contract related to ""Change Of Control"" that should be reviewed by a lawyer. Details: Does one party have the right to terminate or is consent or notice required of the counterparty if such party undergoes a change of control, such as a merger, stock sale, transfer of all or substantially all of its assets or business, or assignment by operation of law?","DIALOG will have the right to terminate this Agreement immediately upon the issuance of written notice to ENERGOUS (A) if ENERGOUS undergoes a Change of Control involving a competitor of DIALOG, or (B) if ENERGOUS acquires, whether directly through a sale of assets or through a Change of Control transaction, any competitor of DIALOG (as reasonably determined by DIALOG). ENERGOUS will provide DIALOG with notice of any such Change of Control or acquisition within [***] after the closing thereof and DIALOG's right to terminate the Agreement will expire [***] after receipt of such notice.",ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__Change Of Control
28,"Does one party have the right to terminate or is consent or notice required of the counterparty if such party undergoes a change of control, such as a merger, stock sale, transfer of all or substantially all of its assets or business, or assignment by operation of law?","Highlight the parts (if any) of this contract related to ""Change Of Control"" that should be reviewed by a lawyer. Details: Does one party have the right to terminate or is consent or notice required of the counterparty if such party undergoes a change of control, such as a merger, stock sale, transfer of all or substantially all of its assets or business, or assignment by operation of law?","If DIALOG is acquired by a third party, DIALOG's acquirer will have the right, for a period of [***] following closing of such acquisition, to terminate this Agreement upon written notice to ENERGOUS.",ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__Change Of Control
29,"Does one party have the right to terminate or is consent or notice required of the counterparty if such party undergoes a change of control, such as a merger, stock sale, transfer of all or substantially all of its assets or business, or assignment by operation of law?","Highlight the parts (if any) of this contract related to ""Change Of Control"" that should be reviewed by a lawyer. Details: Does one party have the right to terminate or is consent or notice required of the counterparty if such party undergoes a change of control, such as a merger, stock sale, transfer of all or substantially all of its assets or business, or assignment by operation of law?","If ENERGOUS is acquired by a third party, ENERGOUS' acquirer will have the right, for a period of [***] following closing of such acquisition, to terminate this Agreement upon written notice to DIALOG.",ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__Change Of Control
30,Is consent or notice required of a party if the contract is assigned to a third party?,"Highlight the parts (if any) of this contract related to ""Anti-Assignment"" that should be reviewed by a lawyer. Details: Is consent or notice required of a party if the contract is assigned to a third party?","This Agreement may not be assigned by either party without the express written consent of the other party, which approval will not be unreasonably withheld or delayed, except that either party may (without consent but with notice to the other party) assign this Agreement in its entirety to any successor in the event of a Change of Control of such party.",ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__Anti-Assignment
31,"Is one party required to share revenue or profit with the counterparty for any technology, goods, or services?","Highlight the parts (if any) of this contract related to ""Revenue/Profit Sharing"" that should be reviewed by a lawyer. Details: Is one party required to share revenue or profit with the counterparty for any technology, goods, or services?",Royalties and Service Fees payable by DIALOG and/or its Affiliates to ENERGOUS hereunder will be calculated on a Product by Product basis as defined herein.,ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__Revenue/Profit Sharing
32,Is there a minimum order size or minimum amount or units per-time period that one party must buy from the counterparty under the contract?,"Highlight the parts (if any) of this contract related to ""Minimum Commitment"" that should be reviewed by a lawyer. Details: Is there a minimum order size or minimum amount or units per-time period that one party must buy from the counterparty under the contract?","DIALOG may terminate this Agreement, immediately upon issuance of written notice to ENERGOUS in the event that: (A) DIALOG or its Affiliates fail to achieve a design-win pipeline with an annual projected sales value to DIALOG of at least [***] in the [***] after the availability of a Mass Production Qualified Product; or (B) the aggregate annual Net Sales of Products are below [***] by the [***] of the availability of a Mass Production Qualified Product, or below [***] by the [***] of the availability of a Mass Production Qualified Product, or below [***] by each [***] of the availability of a Mass Production Qualified Product during the remainder of the Term.",ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__Minimum Commitment
33,"Does intellectual property created  by one party become the property of the counterparty, either per the terms of the contract or upon the occurrence of certain events?","Highlight the parts (if any) of this contract related to ""Ip Ownership Assignment"" that should be reviewed by a lawyer. Details: Does intellectual property created  by one party become the property of the counterparty, either per the terms of the contract or upon the occurrence of certain events?","Upon the termination of DIALOG's right to manufacture the Licensed Products following any expiration or termination of the Agreement or any Wind Down Period or Continuing Obligation period, as applicable, then all right, title and interest in the Tooling will automatically transfer to ENERGOUS subject to any Third Party IP, and DIALOG will, at ENERGOUS' option, either sell any Tooling in its possession to ENERGOUS at cost or destroy the Tooling and certify in writing as to same.",ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__Ip Ownership Assignment
34,Does the contract contain a license granted by one party to its counterparty?,"Highlight the parts (if any) of this contract related to ""License Grant"" that should be reviewed by a lawyer. Details: Does the contract contain a license granted by one party to its counterparty?","ENERGOUS hereby grants DIALOG a non-exclusive, non-transferable (except as set forth in Section 2) license under the Product IP to use any of the Deposit Materials released from escrow for the purpose of fixing an Epidemic Defect or other Product design or production issue impacting yield or quality during the Term and, if applicable, any Wind Down Period or Continuing Obligation period, including, but not limited to, authorizing any third party subcontractor to manufacture and supply Products, provided, however, that DIALOG continues to make all Royalty payment owed to ENERGOUS (or the then-current owner of the Product IP) as provided in this Agreement.",ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__License Grant
35,Does the contract contain a license granted by one party to its counterparty?,"Highlight the parts (if any) of this contract related to ""License Grant"" that should be reviewed by a lawyer. Details: Does the contract contain a license granted by one party to its counterparty?","Until the earlier of (i) termination of ENERGOUS' exclusivity obligations to the Key Customer set forth in Exhibit F (the ""Key Customer"") existing as of the Effective Date with respect to the following applications, or (ii) [***] that incorporates ENERGOUS wireless charging technology, or (iii) [***] and subject to the exceptions set out in Section 2.3, DIALOG will not be permitted to Sell Licensed Products for use in the following applications (the ""Excluded Applications""):   (a) [***];",ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__License Grant
36,Does the contract contain a license granted by one party to its counterparty?,"Highlight the parts (if any) of this contract related to ""License Grant"" that should be reviewed by a lawyer. Details: Does the contract contain a license granted by one party to its counterparty?",(b) [***];   (c) [***];   (d) [***]; and   (e) [***] designed for use with any of the applications in paragraphs (a) to (d) of this Section 2.2.,ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__License Grant
37,Does the contract contain a license granted by one party to its counterparty?,"Highlight the parts (if any) of this contract related to ""License Grant"" that should be reviewed by a lawyer. Details: Does the contract contain a license granted by one party to its counterparty?","For the avoidance of doubt, DIALOG will be permitted to Sell Licensed Products for use in any or all of the Excluded Applications (A) at any time on or after [***] or, if earlier, (B) [***] that incorporates ENERGOUS wireless charging technology, or (C) upon the termination of ENERGOUS' exclusivity obligations to the Key Customer existing as of the Effective Date with respect to the above applications.",ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__License Grant
38,Does the contract contain a license granted by one party to its counterparty?,"Highlight the parts (if any) of this contract related to ""License Grant"" that should be reviewed by a lawyer. Details: Does the contract contain a license granted by one party to its counterparty?","Subject to the restrictions set out in Section 2.2, ENERGOUS hereby grants to DIALOG a non-exclusive (subject to Section 2.5), irrevocable, worldwide, sub-licensable (solely in accordance with Section 2.4), royalty-bearing license during the Term under all Product IP to:   (a) repackage or have repackaged the Product Die into various package formats or layouts, and to integrate the Product Die into MCMs, which may incorporate DIALOG or third party intellectual property (such repackaged Product Die, MCMs and Products, are individually and/or collectively referred to as the ""Licensed Products"");   (b) have the Licensed Products manufactured, tested and packaged by Manufacturing Subcontractors;   (c) Sell, offer for Sale, import, export and support the Licensed Products, including without limitation, providing system design, troubleshooting and failure analysis support for DIALOG's customers and their customers;   (d) use and modify the Tooling and Documentation for the purposes of paragraphs (a) to (d) of this Section 2.1.",ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__License Grant
39,Does the contract contain a license granted by one party to its counterparty?,"Highlight the parts (if any) of this contract related to ""License Grant"" that should be reviewed by a lawyer. Details: Does the contract contain a license granted by one party to its counterparty?","To the extent the parties engage in any co-branding activities, then, subject to the terms and conditions of this Agreement and during the Term, each party (in such capacity, ""Licensor"") hereby grants to the other party (in such capacity, ""Licensee"") a non-exclusive, non- transferable, worldwide right and license (without the right to sublicense), under Licensor's Intellectual Property Rights in Licensor's Marks, to use those Marks of Licensor set forth in  Exhibit D solely in connection with the marketing, sale and distribution of such co-branded Products in accordance with this Agreement.",ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__License Grant
40,Does the contract limit the ability of a party to transfer the license being granted to a third party?,"Highlight the parts (if any) of this contract related to ""Non-Transferable License"" that should be reviewed by a lawyer. Details: Does the contract limit the ability of a party to transfer the license being granted to a third party?","ENERGOUS hereby grants DIALOG a non-exclusive, non-transferable (except as set forth in Section 2) license under the Product IP to use any of the Deposit Materials released from escrow for the purpose of fixing an Epidemic Defect or other Product design or production issue impacting yield or quality during the Term and, if applicable, any Wind Down Period or Continuing Obligation period, including, but not limited to, authorizing any third party subcontractor to manufacture and supply Products, provided, however, that DIALOG continues to make all Royalty payment owed to ENERGOUS (or the then-current owner of the Product IP) as provided in this Agreement.",ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__Non-Transferable License
41,Does the contract limit the ability of a party to transfer the license being granted to a third party?,"Highlight the parts (if any) of this contract related to ""Non-Transferable License"" that should be reviewed by a lawyer. Details: Does the contract limit the ability of a party to transfer the license being granted to a third party?","To the extent the parties engage in any co-branding activities, then, subject to the terms and conditions of this Agreement and during the Term, each party (in such capacity, ""Licensor"") hereby grants to the other party (in such capacity, ""Licensee"") a non-exclusive, non- transferable, worldwide right and license (without the right to sublicense), under Licensor's Intellectual Property Rights in Licensor's Marks, to use those Marks of Licensor set forth in  Exhibit D solely in connection with the marketing, sale and distribution of such co-branded Products in accordance with this Agreement.",ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__Non-Transferable License
42,Does the contract limit the ability of a party to transfer the license being granted to a third party?,"Highlight the parts (if any) of this contract related to ""Non-Transferable License"" that should be reviewed by a lawyer. Details: Does the contract limit the ability of a party to transfer the license being granted to a third party?","DIALOG may sublicense the foregoing license rights to Manufacturing Subcontractors solely to the extent necessary and appropriate for them to manufacture, assemble, test and provide support for the Products.",ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__Non-Transferable License
43,Does the contract limit the ability of a party to transfer the license being granted to a third party?,"Highlight the parts (if any) of this contract related to ""Non-Transferable License"" that should be reviewed by a lawyer. Details: Does the contract limit the ability of a party to transfer the license being granted to a third party?",DIALOG may not sublicense the foregoing license rights to any other third party without ENERGOUS' prior written consent.,ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__Non-Transferable License
44,Does the contract contain a license grant by affiliates of the licensor or that includes intellectual property of affiliates of the licensor?,"Highlight the parts (if any) of this contract related to ""Affiliate License-Licensor"" that should be reviewed by a lawyer. Details: Does the contract contain a license grant by affiliates of the licensor or that includes intellectual property of affiliates of the licensor? ","Subject to the restrictions set out in Section 2.2, ENERGOUS hereby grants to DIALOG a non-exclusive (subject to Section 2.5), irrevocable, worldwide, sub-licensable (solely in accordance with Section 2.4), royalty-bearing license during the Term under all Product IP to:   (a) repackage or have repackaged the Product Die into various package formats or layouts, and to integrate the Product Die into MCMs, which may incorporate DIALOG or third party intellectual property (such repackaged Product Die, MCMs and Products, are individually and/or collectively referred to as the ""Licensed Products"");   (b) have the Licensed Products manufactured, tested and packaged by Manufacturing Subcontractors;   (c) Sell, offer for Sale, import, export and support the Licensed Products, including without limitation, providing system design, troubleshooting and failure analysis support for DIALOG's customers and their customers;   (d) use and modify the Tooling and Documentation for the purposes of paragraphs (a) to (d) of this Section 2.1.",ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT__Affiliate License-Licensor
